               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081572,            0.029128,            0.025384,           0.0016568,             0.30939,           0.0015305,          0.00017121,            0.028477,            0.010996,             0.00839,            0.070072,           0.0033254,           0.0033254
                   1,            0.070279,            0.027903,            0.020078,             0.26888,             0.15782,             0.18029,             0.10627,            0.016384,            0.020477,           0.0075028,            0.040072,           0.0066586,           0.0066586
                   2,            0.048802,            0.024233,            0.015036,            0.051988,             0.43282,            0.046627,            0.020258,            0.012817,            0.021619,            0.015128,            0.010072,           0.0099918,           0.0099918
                   3,            0.037098,            0.017476,            0.011797,             0.58338,             0.37371,             0.35296,             0.24926,             0.01259,            0.012931,           0.0058361,           0.0099997,           0.0099997,           0.0099997
                   4,            0.031717,            0.014679,            0.010236,             0.68789,             0.48102,             0.61009,             0.39379,            0.015165,           0.0081056,           0.0061009,           0.0099997,           0.0099997,           0.0099997
                   5,            0.028354,            0.013394,            0.009502,             0.81491,             0.37794,             0.50551,              0.3594,            0.011044,            0.010039,            0.012832,           0.0099996,           0.0099996,           0.0099996
                   6,            0.026059,            0.012417,           0.0085246,             0.64122,             0.38473,             0.38225,             0.30054,             0.01206,            0.012538,            0.006574,           0.0099995,           0.0099995,           0.0099995
                   7,            0.024656,            0.011597,           0.0082886,             0.64036,             0.35015,             0.43111,             0.30424,            0.011063,            0.012261,             0.01024,           0.0099994,           0.0099994,           0.0099994
                   8,            0.023315,            0.011084,           0.0075209,             0.87716,             0.40424,             0.60326,             0.44888,            0.009613,           0.0079847,           0.0070114,           0.0099993,           0.0099993,           0.0099993
                   9,            0.022278,            0.010433,           0.0076257,             0.86043,             0.40315,             0.48808,             0.40681,            0.013789,           0.0094438,           0.0055822,           0.0099992,           0.0099992,           0.0099992
                  10,            0.021722,            0.010191,           0.0073558,             0.79346,             0.43032,             0.58764,             0.41848,             0.01107,           0.0070146,           0.0096074,           0.0099991,           0.0099991,           0.0099991
                  11,            0.021579,           0.0099255,           0.0071604,             0.82373,             0.41955,             0.54874,             0.36483,            0.010716,           0.0098803,           0.0082356,            0.009999,            0.009999,            0.009999
                  12,            0.020621,           0.0095534,           0.0068501,             0.69519,             0.53852,             0.58202,             0.41698,           0.0094681,           0.0077125,            0.010876,           0.0099989,           0.0099989,           0.0099989
                  13,            0.020074,           0.0093425,            0.006859,             0.64648,             0.58403,             0.64709,             0.47359,            0.008393,           0.0068356,            0.011412,           0.0099988,           0.0099988,           0.0099988
                  14,            0.019612,           0.0092039,           0.0064504,             0.89502,             0.42943,             0.66149,             0.48582,            0.010198,           0.0057793,           0.0090505,           0.0099987,           0.0099987,           0.0099987
                  15,            0.019257,           0.0090018,           0.0064331,             0.56643,             0.66053,             0.71126,             0.52601,           0.0084136,           0.0067632,           0.0071278,           0.0099986,           0.0099986,           0.0099986
                  16,            0.018767,           0.0087592,           0.0059734,             0.91792,             0.40539,             0.57139,              0.4671,           0.0093883,           0.0091053,            0.008377,           0.0099985,           0.0099985,           0.0099985
                  17,            0.018476,           0.0086019,           0.0063459,             0.70541,             0.62141,             0.65025,             0.48381,           0.0078364,           0.0070932,            0.014144,           0.0099984,           0.0099984,           0.0099984
                  18,            0.018183,           0.0084548,           0.0062575,             0.69906,              0.6133,             0.66201,             0.49418,           0.0088684,           0.0071077,            0.010972,           0.0099983,           0.0099983,           0.0099983
                  19,             0.01813,           0.0083799,           0.0058904,              0.6333,              0.7225,             0.69832,             0.54967,           0.0075734,           0.0061871,           0.0083603,           0.0099982,           0.0099982,           0.0099982
                  20,            0.017727,           0.0083173,           0.0061782,             0.69351,             0.60285,             0.61531,             0.47743,           0.0084383,           0.0066414,            0.014683,           0.0099981,           0.0099981,           0.0099981
                  21,            0.017357,            0.008224,           0.0060316,             0.71294,             0.65455,             0.68286,             0.52327,            0.008667,           0.0052269,            0.016354,            0.009998,            0.009998,            0.009998
                  22,            0.017351,           0.0081225,           0.0056735,             0.71753,             0.48247,             0.59942,             0.47207,            0.008713,           0.0066056,            0.013683,           0.0099979,           0.0099979,           0.0099979
                  23,            0.017015,           0.0080348,           0.0057937,             0.65045,             0.63043,             0.66871,             0.52716,           0.0074588,           0.0062892,            0.012817,           0.0099978,           0.0099978,           0.0099978
                  24,            0.017017,           0.0079965,           0.0058257,             0.67126,             0.62616,             0.64069,             0.50557,           0.0080926,           0.0062561,            0.014376,           0.0099977,           0.0099977,           0.0099977
                  25,            0.016908,           0.0078573,            0.005925,             0.69415,             0.64675,             0.67804,             0.53747,           0.0076163,           0.0053445,            0.011896,           0.0099976,           0.0099976,           0.0099976
                  26,              0.0166,           0.0078024,           0.0056316,             0.69593,             0.63334,             0.68046,             0.55062,           0.0075446,           0.0055604,            0.011762,           0.0099975,           0.0099975,           0.0099975
                  27,            0.016493,           0.0076748,           0.0052698,             0.67442,             0.67728,             0.73707,             0.58229,           0.0077671,           0.0055178,           0.0093285,           0.0099974,           0.0099974,           0.0099974
                  28,            0.016336,           0.0076178,           0.0053544,             0.67417,             0.61851,              0.6568,             0.51806,           0.0083161,           0.0066119,            0.012427,           0.0099973,           0.0099973,           0.0099973
                  29,            0.016448,           0.0076801,           0.0054694,             0.67722,              0.6242,             0.64974,             0.53334,           0.0079238,           0.0060551,            0.013952,           0.0099972,           0.0099972,           0.0099972
                  30,            0.016184,           0.0075936,           0.0056327,             0.72217,             0.63026,             0.66902,             0.52214,             0.00831,           0.0053146,            0.013895,           0.0099971,           0.0099971,           0.0099971
                  31,            0.015905,           0.0075178,           0.0056157,             0.67833,             0.55905,             0.63069,             0.48952,           0.0081411,           0.0075513,            0.011429,            0.009997,            0.009997,            0.009997
                  32,            0.016094,           0.0074831,           0.0053033,             0.65668,             0.67328,             0.68944,             0.55644,           0.0071581,           0.0060785,           0.0088045,           0.0099969,           0.0099969,           0.0099969
                  33,            0.015759,           0.0074484,           0.0050253,             0.65858,             0.68147,             0.71556,             0.55759,           0.0077966,           0.0059004,           0.0084151,           0.0099968,           0.0099968,           0.0099968
                  34,            0.015409,           0.0073467,            0.005403,             0.69088,             0.65208,             0.70503,              0.5618,           0.0080703,           0.0054331,           0.0097144,           0.0099967,           0.0099967,           0.0099967
                  35,            0.015524,           0.0073829,           0.0053381,             0.70025,             0.64036,             0.72652,             0.56433,           0.0080771,           0.0049151,           0.0086616,           0.0099966,           0.0099966,           0.0099966
                  36,            0.015762,           0.0073453,           0.0052507,             0.56646,             0.67321,             0.70096,             0.55039,           0.0081174,           0.0055994,            0.010068,           0.0099965,           0.0099965,           0.0099965
                  37,            0.015536,           0.0072162,           0.0053739,             0.68067,             0.52374,             0.64855,             0.52091,           0.0073588,           0.0065182,            0.010023,           0.0099964,           0.0099964,           0.0099964
                  38,            0.015177,           0.0072477,           0.0052799,             0.71713,             0.65586,             0.69298,             0.55107,           0.0077406,           0.0047511,             0.01332,           0.0099963,           0.0099963,           0.0099963
                  39,            0.015395,           0.0072072,            0.005242,             0.74351,             0.68232,             0.71501,             0.58154,           0.0068017,           0.0050943,            0.013276,           0.0099962,           0.0099962,           0.0099962
                  40,            0.015265,           0.0071733,           0.0052051,             0.75102,              0.6846,             0.69268,             0.57066,           0.0071678,           0.0049642,            0.015415,           0.0099961,           0.0099961,           0.0099961
                  41,             0.01548,           0.0072992,           0.0053146,             0.69304,             0.54334,             0.66421,             0.53674,           0.0074176,           0.0061193,            0.011933,            0.009996,            0.009996,            0.009996
                  42,            0.015248,           0.0072044,           0.0055742,             0.73492,             0.67335,              0.6942,             0.56608,           0.0069544,           0.0046565,            0.013981,           0.0099959,           0.0099959,           0.0099959
                  43,            0.015153,            0.007142,           0.0050387,             0.71575,             0.66291,             0.71028,             0.57819,           0.0071896,           0.0048088,            0.012322,           0.0099958,           0.0099958,           0.0099958
                  44,            0.014996,           0.0071327,           0.0050926,             0.71675,             0.65762,             0.69736,             0.57033,           0.0070955,           0.0050125,            0.013296,           0.0099957,           0.0099957,           0.0099957
                  45,            0.014943,           0.0070699,           0.0049614,             0.71718,             0.61132,             0.66996,             0.55328,           0.0072029,           0.0051985,            0.013861,           0.0099956,           0.0099956,           0.0099956
