               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044114,            0.027481,            0.019019,             0.92977,             0.93783,             0.97767,             0.78436,            0.014865,             0.01089,           0.0036026,            0.070013,           0.0033319,           0.0033319
                   1,            0.029331,            0.016403,            0.010008,             0.90766,             0.95903,             0.96257,             0.82037,            0.011984,           0.0086633,           0.0025288,            0.040013,           0.0066652,           0.0066652
                   2,            0.026884,            0.015436,           0.0089289,             0.95535,             0.95573,             0.98132,             0.84754,           0.0096904,            0.008959,           0.0028416,            0.010013,           0.0099984,           0.0099984
                   3,            0.024147,            0.015774,           0.0088219,             0.94284,             0.94666,             0.98182,             0.85732,           0.0091357,           0.0094085,           0.0020851,           0.0099997,           0.0099997,           0.0099997
                   4,            0.021873,            0.015345,           0.0082774,             0.93685,             0.93725,             0.98051,              0.8645,           0.0085667,           0.0087922,           0.0024543,           0.0099997,           0.0099997,           0.0099997
                   5,            0.020372,            0.014662,            0.007881,             0.96824,             0.94526,             0.98507,             0.88341,           0.0082741,           0.0082806,            0.002504,           0.0099996,           0.0099996,           0.0099996
                   6,            0.019136,            0.014048,           0.0071317,             0.97148,             0.96542,             0.98948,             0.89925,           0.0071982,           0.0075678,           0.0016555,           0.0099995,           0.0099995,           0.0099995
                   7,            0.018333,            0.013661,           0.0072465,             0.96768,             0.96261,             0.98864,             0.90723,           0.0071486,           0.0075031,           0.0016849,           0.0099994,           0.0099994,           0.0099994
                   8,            0.017125,            0.012873,           0.0065573,             0.97538,             0.96948,              0.9908,             0.91693,           0.0066021,           0.0072525,           0.0014673,           0.0099993,           0.0099993,           0.0099993
                   9,            0.016807,            0.012632,           0.0062911,             0.95802,              0.9589,             0.98879,             0.90997,           0.0067272,           0.0073658,           0.0018008,           0.0099992,           0.0099992,           0.0099992
                  10,            0.016387,            0.012526,           0.0061671,             0.97708,             0.97266,             0.99195,             0.92207,            0.006254,           0.0069674,           0.0012521,           0.0099991,           0.0099991,           0.0099991
                  11,            0.015848,            0.012002,           0.0060307,             0.97305,             0.97317,             0.99177,             0.92634,           0.0059894,           0.0068062,           0.0011955,            0.009999,            0.009999,            0.009999
                  12,            0.015241,            0.011779,           0.0055029,             0.97807,             0.96641,             0.99151,             0.92917,           0.0058722,           0.0066565,           0.0015718,           0.0099989,           0.0099989,           0.0099989
                  13,            0.015214,            0.011654,           0.0055332,             0.97625,             0.97671,             0.99217,             0.92734,           0.0058498,           0.0066439,           0.0011956,           0.0099988,           0.0099988,           0.0099988
                  14,             0.01493,            0.011643,           0.0056652,               0.975,             0.96797,              0.9913,             0.93306,           0.0054917,           0.0066411,           0.0015175,           0.0099987,           0.0099987,           0.0099987
                  15,            0.014577,            0.011338,           0.0053004,              0.9759,             0.97574,             0.99217,             0.94027,            0.005569,           0.0064194,           0.0011005,           0.0099986,           0.0099986,           0.0099986
                  16,            0.014223,            0.011248,           0.0051001,             0.97894,             0.97318,             0.99224,             0.93622,           0.0054165,           0.0064744,           0.0010221,           0.0099985,           0.0099985,           0.0099985
                  17,            0.014072,            0.011136,           0.0053157,              0.9823,             0.97143,             0.99268,             0.93651,           0.0054324,            0.006333,           0.0010704,           0.0099984,           0.0099984,           0.0099984
                  18,            0.013763,             0.01084,           0.0048997,             0.97912,             0.97906,             0.99268,             0.94025,           0.0052567,           0.0062537,          0.00084437,           0.0099983,           0.0099983,           0.0099983
                  19,            0.013713,            0.010665,            0.004944,              0.9753,             0.97635,              0.9924,             0.94122,           0.0050784,            0.006239,           0.0010037,           0.0099982,           0.0099982,           0.0099982
                  20,            0.013551,            0.010656,           0.0048716,             0.97946,             0.97002,             0.99246,             0.94432,           0.0050636,           0.0061358,          0.00099799,           0.0099981,           0.0099981,           0.0099981
                  21,            0.013312,            0.010594,           0.0049893,              0.9751,             0.97712,             0.99244,             0.94397,           0.0050296,           0.0061211,           0.0011529,            0.009998,            0.009998,            0.009998
                  22,            0.013237,            0.010418,           0.0047737,             0.97957,             0.97971,             0.99329,             0.94739,           0.0049189,           0.0061615,          0.00078701,           0.0099979,           0.0099979,           0.0099979
                  23,            0.013133,            0.010394,           0.0046641,             0.97839,             0.97957,             0.99292,             0.94782,           0.0050159,           0.0060211,          0.00092167,           0.0099978,           0.0099978,           0.0099978
                  24,            0.013175,            0.010579,            0.004617,             0.98311,             0.97446,             0.99312,             0.94976,           0.0048331,           0.0058696,          0.00092787,           0.0099977,           0.0099977,           0.0099977
                  25,            0.013108,            0.010339,            0.004657,             0.97938,             0.97703,             0.99298,             0.95203,           0.0047802,           0.0059083,          0.00086305,           0.0099976,           0.0099976,           0.0099976
                  26,            0.013138,             0.01033,           0.0044796,             0.97987,             0.97818,             0.99288,             0.95166,           0.0048133,           0.0059412,          0.00095397,           0.0099975,           0.0099975,           0.0099975
                  27,            0.012921,            0.010215,           0.0045511,             0.97861,             0.98072,             0.99235,             0.95113,           0.0045866,           0.0058191,          0.00079296,           0.0099974,           0.0099974,           0.0099974
                  28,              0.0128,            0.010134,           0.0044471,             0.98059,             0.97623,             0.99269,             0.95067,           0.0046554,           0.0058962,           0.0010675,           0.0099973,           0.0099973,           0.0099973
                  29,            0.012848,            0.010155,           0.0043164,              0.9827,               0.971,             0.99299,             0.95405,           0.0045736,           0.0056945,          0.00093434,           0.0099972,           0.0099972,           0.0099972
                  30,            0.012477,           0.0099934,           0.0042744,             0.97959,             0.97994,             0.99279,             0.95544,           0.0045374,           0.0057604,          0.00076025,           0.0099971,           0.0099971,           0.0099971
                  31,            0.012598,            0.010107,           0.0042283,             0.98264,             0.97948,             0.99307,             0.95442,           0.0045726,           0.0058542,          0.00074391,            0.009997,            0.009997,            0.009997
                  32,            0.012566,            0.010089,           0.0043143,             0.97857,             0.97725,             0.99227,             0.95395,           0.0045332,           0.0057113,           0.0011582,           0.0099969,           0.0099969,           0.0099969
                  33,            0.012561,           0.0099781,           0.0043585,             0.97777,             0.97686,             0.99268,             0.95826,           0.0043386,           0.0055556,          0.00082004,           0.0099968,           0.0099968,           0.0099968
                  34,            0.012166,           0.0097749,            0.004141,             0.97956,             0.98124,             0.99327,             0.95678,           0.0042979,            0.005499,          0.00067428,           0.0099967,           0.0099967,           0.0099967
                  35,            0.012216,           0.0097666,           0.0042258,             0.97823,             0.97489,             0.99174,             0.95633,           0.0043292,           0.0056989,          0.00070612,           0.0099966,           0.0099966,           0.0099966
                  36,            0.012277,           0.0098557,           0.0040755,             0.97766,             0.97688,             0.99268,             0.95798,           0.0043189,           0.0056809,          0.00081798,           0.0099965,           0.0099965,           0.0099965
                  37,            0.012307,           0.0098217,            0.004063,              0.9722,             0.98318,             0.99305,             0.95618,           0.0043849,           0.0055913,           0.0010551,           0.0099964,           0.0099964,           0.0099964
                  38,            0.012189,           0.0097394,           0.0040382,              0.9765,             0.97838,             0.99269,             0.95815,           0.0042381,           0.0055543,          0.00086224,           0.0099963,           0.0099963,           0.0099963
                  39,            0.012105,           0.0095896,            0.004172,             0.98142,             0.97767,             0.99306,             0.95898,           0.0042215,           0.0054241,          0.00079492,           0.0099962,           0.0099962,           0.0099962
                  40,            0.011997,           0.0096298,           0.0040163,             0.98171,             0.97869,             0.99302,             0.95575,           0.0042499,            0.005638,          0.00078201,           0.0099961,           0.0099961,           0.0099961
                  41,             0.01201,           0.0097325,           0.0038558,             0.98571,             0.97999,             0.99366,             0.95731,           0.0041593,           0.0054073,          0.00062211,            0.009996,            0.009996,            0.009996
                  42,            0.011806,           0.0096482,           0.0039905,              0.9798,             0.98169,             0.99308,              0.9599,           0.0042082,           0.0054737,          0.00066535,           0.0099959,           0.0099959,           0.0099959
                  43,            0.011933,           0.0096018,           0.0042939,             0.97819,             0.98417,             0.99309,             0.96204,           0.0041873,           0.0053279,          0.00075795,           0.0099958,           0.0099958,           0.0099958
                  44,            0.011921,           0.0095146,            0.003861,              0.9842,               0.983,             0.99371,             0.96078,           0.0041114,           0.0053337,          0.00069284,           0.0099957,           0.0099957,           0.0099957
                  45,            0.011876,           0.0094673,           0.0038365,             0.98203,             0.98285,             0.99377,             0.96199,           0.0040272,           0.0053889,          0.00071276,           0.0099956,           0.0099956,           0.0099956
                  46,            0.011896,           0.0094234,           0.0039962,             0.98687,             0.97951,             0.99355,             0.96309,           0.0040035,            0.005385,          0.00068265,           0.0099955,           0.0099955,           0.0099955
                  47,            0.011626,           0.0094492,           0.0037823,              0.9824,             0.98156,             0.99329,             0.96322,           0.0039455,           0.0054024,          0.00072215,           0.0099954,           0.0099954,           0.0099954
                  48,            0.011589,           0.0093933,           0.0039854,             0.98363,              0.9841,             0.99333,             0.96351,           0.0039858,           0.0052363,          0.00074423,           0.0099953,           0.0099953,           0.0099953
                  49,            0.011607,           0.0092996,           0.0038144,             0.98158,             0.98269,             0.99343,             0.96384,           0.0038854,           0.0052152,          0.00063468,           0.0099952,           0.0099952,           0.0099952
                  50,            0.011483,            0.009224,           0.0036797,              0.9763,             0.98153,             0.99272,             0.96371,           0.0038922,            0.005272,          0.00065704,           0.0099951,           0.0099951,           0.0099951
                  51,            0.011405,           0.0094086,           0.0038498,             0.98168,             0.98399,             0.99322,             0.96427,           0.0038713,           0.0052418,          0.00063046,           0.0099951,           0.0099951,           0.0099951
                  52,            0.011631,           0.0094004,            0.003753,             0.98196,             0.98257,             0.99315,             0.96454,            0.003922,           0.0052444,           0.0007475,            0.009995,            0.009995,            0.009995
                  53,            0.011663,           0.0092788,           0.0038906,             0.98185,             0.97995,             0.99313,             0.96491,           0.0038677,           0.0052289,          0.00077774,           0.0099949,           0.0099949,           0.0099949
                  54,            0.011557,           0.0092683,           0.0039711,             0.98151,             0.98343,             0.99305,             0.96543,           0.0039156,           0.0052595,          0.00066256,           0.0099948,           0.0099948,           0.0099948
                  55,            0.011485,           0.0093047,           0.0035162,             0.98161,             0.98116,             0.99339,             0.96729,           0.0038059,           0.0051207,          0.00061168,           0.0099947,           0.0099947,           0.0099947
                  56,            0.011593,           0.0093368,           0.0038777,             0.97816,             0.98247,             0.99345,             0.96627,            0.003773,           0.0050834,          0.00060894,           0.0099946,           0.0099946,           0.0099946
                  57,            0.011575,           0.0092113,           0.0037261,               0.981,             0.98468,             0.99348,             0.96844,           0.0037265,           0.0050057,          0.00051919,           0.0099945,           0.0099945,           0.0099945
                  58,            0.011544,           0.0092253,           0.0036249,             0.98148,              0.9839,             0.99305,             0.96696,           0.0037355,           0.0050102,          0.00057946,           0.0099944,           0.0099944,           0.0099944
                  59,            0.011541,           0.0091805,           0.0037021,             0.98112,               0.987,             0.99342,             0.96754,           0.0036843,           0.0049423,          0.00051496,           0.0099943,           0.0099943,           0.0099943
                  60,            0.011358,           0.0091562,           0.0034812,             0.98373,             0.98565,             0.99343,             0.96717,           0.0036846,           0.0049939,          0.00047991,           0.0099942,           0.0099942,           0.0099942
                  61,            0.011386,           0.0091752,           0.0035875,             0.98025,               0.984,              0.9933,             0.96708,           0.0036633,           0.0049736,          0.00057694,           0.0099941,           0.0099941,           0.0099941
                  62,            0.011244,            0.009178,            0.003688,             0.98415,             0.98086,             0.99346,             0.96853,           0.0036194,           0.0049899,          0.00051087,            0.009994,            0.009994,            0.009994
                  63,             0.01142,           0.0091781,           0.0035041,             0.98206,             0.98643,             0.99385,             0.96803,           0.0036076,            0.004964,          0.00043805,           0.0099939,           0.0099939,           0.0099939
                  64,            0.011126,           0.0090338,            0.003533,             0.98048,             0.98586,             0.99389,             0.96705,           0.0036231,           0.0050101,          0.00044185,           0.0099938,           0.0099938,           0.0099938
                  65,            0.011228,           0.0091261,           0.0038264,             0.98228,             0.98514,             0.99362,              0.9676,           0.0036109,            0.004986,          0.00055266,           0.0099937,           0.0099937,           0.0099937
                  66,            0.011344,           0.0091343,           0.0036637,             0.98544,             0.98353,             0.99359,             0.96773,           0.0036112,           0.0049837,          0.00046774,           0.0099936,           0.0099936,           0.0099936
                  67,            0.011016,           0.0090583,           0.0034382,             0.98384,             0.98416,             0.99368,             0.96812,           0.0035848,            0.004944,          0.00052263,           0.0099935,           0.0099935,           0.0099935
                  68,            0.011219,           0.0091024,           0.0033991,             0.98179,             0.98672,             0.99335,             0.96842,           0.0035537,            0.004954,          0.00051111,           0.0099934,           0.0099934,           0.0099934
                  69,            0.011032,           0.0089749,           0.0035614,             0.98335,             0.98638,              0.9935,             0.96954,            0.003563,           0.0049142,           0.0004335,           0.0099933,           0.0099933,           0.0099933
                  70,            0.011238,           0.0089465,           0.0033799,             0.98382,             0.98576,             0.99356,             0.96902,           0.0035594,           0.0049237,          0.00040878,           0.0099932,           0.0099932,           0.0099932
                  71,            0.011275,           0.0090415,           0.0035016,              0.9817,             0.98602,             0.99346,             0.96793,           0.0036041,           0.0049968,          0.00041994,           0.0099931,           0.0099931,           0.0099931
                  72,            0.011187,           0.0090012,           0.0033588,             0.98331,             0.98537,             0.99365,              0.9679,           0.0035811,           0.0049622,          0.00045083,            0.009993,            0.009993,            0.009993
                  73,            0.011083,           0.0090073,           0.0036688,             0.98389,             0.98541,             0.99351,             0.96866,           0.0035469,           0.0049509,           0.0004691,           0.0099929,           0.0099929,           0.0099929
                  74,            0.011052,           0.0090937,           0.0034918,             0.98331,             0.98584,             0.99353,             0.96817,           0.0035379,           0.0049691,          0.00043355,           0.0099928,           0.0099928,           0.0099928
                  75,            0.011079,           0.0088946,           0.0036101,             0.98569,             0.98401,             0.99367,             0.96824,           0.0035318,           0.0049939,          0.00041493,           0.0099927,           0.0099927,           0.0099927
                  76,            0.011171,           0.0090927,            0.003559,             0.98397,             0.98578,             0.99373,               0.969,           0.0035104,           0.0049719,          0.00040524,           0.0099926,           0.0099926,           0.0099926
                  77,            0.010899,           0.0088626,           0.0033347,             0.98353,             0.98598,             0.99361,               0.969,           0.0035192,           0.0049657,          0.00041547,           0.0099925,           0.0099925,           0.0099925
                  78,            0.011011,           0.0088428,           0.0034198,             0.98217,               0.986,             0.99357,              0.9687,            0.003521,           0.0049617,          0.00043772,           0.0099924,           0.0099924,           0.0099924
                  79,            0.011273,           0.0089342,           0.0034505,             0.98307,             0.98598,              0.9935,              0.9687,           0.0035189,           0.0049686,          0.00044997,           0.0099923,           0.0099923,           0.0099923
                  80,            0.010897,           0.0088396,           0.0033436,             0.98301,             0.98634,             0.99344,              0.9689,           0.0034969,           0.0049558,          0.00043991,           0.0099922,           0.0099922,           0.0099922
                  81,            0.010889,           0.0087318,           0.0034857,             0.98287,               0.987,             0.99333,             0.96899,           0.0034841,           0.0049646,          0.00043436,           0.0099921,           0.0099921,           0.0099921
                  82,            0.010985,           0.0088865,           0.0032385,             0.98258,               0.987,             0.99336,             0.96933,           0.0034623,           0.0049599,          0.00042666,            0.009992,            0.009992,            0.009992
                  83,            0.010969,           0.0088985,            0.003097,              0.9822,             0.98785,             0.99346,             0.96973,           0.0034431,           0.0049336,          0.00041025,           0.0099919,           0.0099919,           0.0099919
                  84,            0.010912,           0.0087394,           0.0034209,             0.98048,             0.98858,             0.99348,             0.96977,           0.0034302,           0.0049088,          0.00039317,           0.0099918,           0.0099918,           0.0099918
                  85,            0.010987,           0.0087843,           0.0032649,              0.9814,             0.98808,             0.99355,             0.96967,           0.0034236,             0.00491,          0.00038792,           0.0099917,           0.0099917,           0.0099917
                  86,            0.011117,            0.008867,           0.0032814,             0.98117,             0.98778,             0.99353,             0.96988,           0.0034199,           0.0048943,          0.00035192,           0.0099916,           0.0099916,           0.0099916
                  87,            0.010822,           0.0088737,           0.0036079,             0.98097,             0.98756,             0.99353,              0.9697,           0.0034197,           0.0049009,          0.00035734,           0.0099915,           0.0099915,           0.0099915
                  88,            0.011005,           0.0089254,           0.0033599,             0.98112,             0.98753,             0.99361,             0.96996,           0.0034051,           0.0048922,          0.00034145,           0.0099914,           0.0099914,           0.0099914
                  89,            0.010841,           0.0087008,           0.0033328,             0.98148,             0.98771,             0.99365,             0.96968,           0.0033965,           0.0049072,          0.00033268,           0.0099913,           0.0099913,           0.0099913
                  90,            0.010915,           0.0087624,           0.0034783,              0.9805,             0.98848,             0.99371,             0.96921,           0.0033901,            0.004916,          0.00032833,           0.0099912,           0.0099912,           0.0099912
                  91,            0.010859,           0.0088024,           0.0030706,             0.98246,             0.98747,             0.99371,              0.9697,            0.003382,           0.0049194,          0.00032791,           0.0099911,           0.0099911,           0.0099911
                  92,            0.010939,           0.0086996,           0.0035924,              0.9822,             0.98763,             0.99361,             0.96982,           0.0033774,           0.0049266,          0.00033836,            0.009991,            0.009991,            0.009991
                  93,            0.010889,           0.0087905,           0.0032638,             0.98085,             0.98847,             0.99358,             0.96912,           0.0033722,           0.0049301,          0.00034853,           0.0099909,           0.0099909,           0.0099909
                  94,            0.010882,           0.0087959,           0.0033502,             0.98193,             0.98757,             0.99348,             0.96971,            0.003366,           0.0049203,          0.00035042,           0.0099908,           0.0099908,           0.0099908
                  95,            0.010934,            0.008861,           0.0033499,             0.98154,             0.98737,             0.99343,             0.96937,           0.0033555,           0.0049124,          0.00034616,           0.0099907,           0.0099907,           0.0099907
                  96,            0.010807,           0.0087797,           0.0033635,              0.9823,             0.98716,             0.99337,             0.96936,           0.0033424,           0.0049031,          0.00034337,           0.0099906,           0.0099906,           0.0099906
                  97,            0.010902,           0.0087425,           0.0035806,             0.98271,             0.98723,             0.99337,             0.96941,           0.0033351,           0.0048999,          0.00034536,           0.0099905,           0.0099905,           0.0099905
                  98,            0.010826,           0.0085912,           0.0034405,             0.98245,             0.98705,             0.99331,             0.96918,           0.0033287,           0.0049035,          0.00034739,           0.0099904,           0.0099904,           0.0099904
                  99,            0.010714,           0.0086829,           0.0033285,             0.98189,             0.98734,             0.99327,              0.9697,            0.003325,           0.0049086,           0.0003526,           0.0099903,           0.0099903,           0.0099903
                 100,            0.010929,           0.0087769,           0.0034801,             0.98186,             0.98737,             0.99323,             0.96941,           0.0033212,           0.0049102,          0.00034803,           0.0099902,           0.0099902,           0.0099902
                 101,            0.010917,           0.0088135,           0.0033597,             0.98171,             0.98709,             0.99318,             0.96959,           0.0033165,           0.0049047,          0.00034677,           0.0099901,           0.0099901,           0.0099901
                 102,            0.010677,           0.0087459,            0.003319,             0.98318,             0.98562,             0.99314,             0.96959,           0.0033107,           0.0049034,          0.00034523,             0.00999,             0.00999,             0.00999
                 103,            0.010747,           0.0086927,           0.0032849,             0.98165,             0.98746,             0.99312,              0.9696,            0.003307,           0.0049004,          0.00034755,           0.0099899,           0.0099899,           0.0099899
                 104,            0.010794,           0.0086762,           0.0033638,             0.98059,             0.98852,             0.99312,             0.96957,            0.003302,           0.0048996,          0.00034619,           0.0099898,           0.0099898,           0.0099898
                 105,            0.010636,           0.0086765,           0.0032486,             0.98195,             0.98791,             0.99317,             0.96993,            0.003299,           0.0049009,          0.00034292,           0.0099897,           0.0099897,           0.0099897
                 106,            0.010705,           0.0087546,           0.0031362,             0.98262,              0.9869,             0.99316,             0.97021,           0.0032979,           0.0049032,          0.00034282,           0.0099896,           0.0099896,           0.0099896
                 107,            0.010676,           0.0087894,           0.0034192,             0.98302,             0.98604,             0.99315,             0.96964,           0.0032965,           0.0049079,          0.00034389,           0.0099895,           0.0099895,           0.0099895
                 108,             0.01082,            0.008818,           0.0033866,             0.98341,             0.98576,             0.99316,             0.96964,           0.0032951,           0.0049101,          0.00034408,           0.0099894,           0.0099894,           0.0099894
                 109,            0.010622,           0.0087106,           0.0032459,             0.98266,             0.98727,             0.99313,             0.96993,           0.0032919,           0.0049083,          0.00034577,           0.0099893,           0.0099893,           0.0099893
                 110,            0.010833,           0.0086322,           0.0032357,              0.9822,              0.9871,             0.99311,             0.96987,           0.0032879,           0.0048979,          0.00034688,           0.0099892,           0.0099892,           0.0099892
                 111,            0.010879,           0.0086184,           0.0032969,             0.98056,             0.98774,             0.99311,             0.96983,           0.0032875,           0.0048962,          0.00034768,           0.0099891,           0.0099891,           0.0099891
                 112,            0.010815,           0.0088353,           0.0032957,             0.98098,             0.98758,             0.99313,             0.96996,            0.003286,           0.0048923,          0.00034609,            0.009989,            0.009989,            0.009989
                 113,            0.010779,           0.0087487,           0.0031379,             0.98355,             0.98538,             0.99314,             0.97005,           0.0032833,           0.0048922,          0.00034596,           0.0099889,           0.0099889,           0.0099889
                 114,            0.010652,           0.0085442,           0.0030411,             0.98196,             0.98704,             0.99315,             0.96993,           0.0032802,           0.0048926,          0.00034558,           0.0099888,           0.0099888,           0.0099888
                 115,            0.010707,           0.0085981,           0.0032316,              0.9833,             0.98606,             0.99315,             0.96971,           0.0032788,           0.0048936,          0.00034413,           0.0099887,           0.0099887,           0.0099887
                 116,            0.010447,           0.0086575,           0.0032464,             0.98334,              0.9855,             0.99315,             0.96989,           0.0032768,           0.0048945,          0.00034342,           0.0099886,           0.0099886,           0.0099886
                 117,            0.010619,           0.0085533,           0.0030744,             0.98086,             0.98789,             0.99314,             0.96989,            0.003276,           0.0048926,          0.00034206,           0.0099885,           0.0099885,           0.0099885
                 118,            0.010715,           0.0086432,            0.003215,             0.98028,              0.9882,             0.99315,             0.97012,           0.0032754,           0.0048921,          0.00034095,           0.0099884,           0.0099884,           0.0099884
                 119,            0.010733,           0.0086045,           0.0032004,             0.98063,             0.98808,             0.99317,              0.9699,           0.0032742,            0.004893,          0.00033757,           0.0099883,           0.0099883,           0.0099883
                 120,             0.01075,           0.0086626,           0.0031035,             0.98087,             0.98791,             0.99318,              0.9701,           0.0032716,           0.0048906,          0.00033471,           0.0099882,           0.0099882,           0.0099882
                 121,            0.010708,           0.0085959,           0.0030827,             0.98059,             0.98882,             0.99319,             0.97017,           0.0032694,           0.0048863,          0.00033198,           0.0099881,           0.0099881,           0.0099881
                 122,            0.010786,           0.0086528,           0.0031023,             0.98058,             0.98809,              0.9932,             0.97019,           0.0032659,           0.0048836,          0.00033043,            0.009988,            0.009988,            0.009988
                 123,            0.010471,           0.0085377,           0.0031383,             0.98063,             0.98806,             0.99321,             0.97023,           0.0032603,           0.0048789,          0.00032889,           0.0099879,           0.0099879,           0.0099879
                 124,            0.010455,            0.008497,           0.0032342,             0.98088,             0.98806,             0.99325,             0.97032,           0.0032571,            0.004873,          0.00032635,           0.0099878,           0.0099878,           0.0099878
                 125,            0.010408,           0.0086201,           0.0032401,             0.98059,             0.98849,             0.99325,             0.97032,           0.0032551,           0.0048719,          0.00032452,           0.0099877,           0.0099877,           0.0099877
